"Date Range: Jan 1, 2026 - Aug 4, 2026"
"As of: 2026-08-04"
"Locations: All locations"
"Part #",Description,Category,Vendor,Location,Qty,"Unit Cost","Unit Sell","Total Cost","Total Sell",Margin,"Margin %"
8TH8NC,"#8 HYD. HOSE NON-CONDUCTIVE X10357 4467-1190","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",65.00,$13.85,$26.63,$900.25,"$1,730.95",$830.70,48.0%
22-831,"LEAF SPRING, GMC/CHEV/ISUZU (15641028)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$449.52,$670.91,$899.04,"$1,341.82",$442.78,33.0%
55-1219,"LEAF SPRING, NAVISTAR/INTERNATIONAL, 18-20 GMC/CHEV 4500HD-6500HD","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$443.82,$662.40,$887.64,"$1,324.80",$437.16,33.0%
GC3636CW,"GOLD SEAL 3636 BRAKE CHAMBER","HD-Air Brakes & Air Suspension","Ruridge Mining","Staging Heavy Duty - 9919",4.00,$219.58,$348.54,$878.32,"$1,394.16",$515.84,37.0%
566.ER8708,"Air Bag","HD-Trailer Brake Comp","Iview Commercial","Staging Lethbridge - 4310",8.00,$109.52,$171.13,$876.16,"$1,369.04",$492.88,36.0%
SSD6907,"Brake Drum, 16.5x8.62","HD-Heavy Duty Drums","Zoburg Maintenance","Staging Heavy Duty - 9919",6.00,$146.00,$208.58,$876.00,"$1,251.48",$375.48,30.0%
2872,"READHEAD STEERING GEAR (TOP LINE C/W NUT AND WASHER)","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",1.00,$873.87,"$1,213.72",$873.87,"$1,213.72",$339.85,28.0%
269526-VNR,"VANAIR AIR/OIL SEPERATOR ELEMENT",HD-Filters,"Deline Mining","Staging Heavy Duty - 9919",3.00,$289.41,$401.96,$868.23,"$1,205.88",$337.65,28.0%
"DDE A4720162220","Cylinder Head Gasket Kit","HD-Engine Comp","Riwick Industries","Staging Lethbridge - 4310",1.00,$868.02,"$1,180.94",$868.02,"$1,180.94",$312.92,26.5%
284-3517,DUCT,"HD-Engine Comp",—,"Staging Heavy Duty - 9919",1.00,$866.22,"$1,178.49",$866.22,"$1,178.49",$312.27,26.5%
INTL5W30FA4CD,"5W30 FA4 Bulk",HD-Fluids,"Lawood Transport","Staging Lethbridge - 4310",122.00,$7.10,$11.64,$866.20,"$1,420.08",$553.88,39.0%
571.LD40W20,"Back-Up Light, 20-Diode, LED 4"" Round","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",46.00,$18.82,$35.51,$865.72,"$1,633.46",$767.74,47.0%
321-369,"TORQUE ROD BUSHING KENWORTH","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",12.00,$71.31,$122.95,$855.72,"$1,475.40",$619.68,42.0%
CP.PIN,"MACHINED PIN (CP RAIL SPECIFIC)","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",4.00,$212.50,$332.03,$850.00,"$1,328.12",$478.12,36.0%
AB1DK23L-8852,"AIR SPRING","HD-Steering & Suspension","Iview Commercial","Staging Lethbridge - 4310",8.00,$105.76,$165.25,$846.08,"$1,322.00",$475.92,36.0%
ARW-600-500-01,"MOTOR MODULE POLAR 2100B","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,$841.74,"$1,153.10",$841.74,"$1,153.10",$311.36,27.0%
PB3030S250K,"TYPE 30 STD PIGGY KIT W/CLAMP","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",30.00,$27.95,$49.91,$838.50,"$1,497.30",$658.80,44.0%
55-1211,"LEAF SPRING, NAVISTAR/INTERNATIONAL, 18-20 GMC/CHEV 4500HD-6500HD (3534534C91)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$414.44,$618.55,$828.88,"$1,237.10",$408.22,33.0%
AB1DK28B-A960,"AIR BAG","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",6.00,$137.76,$227.70,$826.56,"$1,366.20",$539.64,39.5%
DOR1-8,"SEAL DOOR SEALOK 1.000"" (MDG-000001)","HD-Trailer Comp","Weriver Electrical","Staging Lethbridge - 4310",472.00,$1.75,$4.52,$826.00,"$2,133.44","$1,307.44",61.3%
46-1768,"Taper Leaf Spring, Freightliner/Hendrickson/Sterling ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$412.28,$615.33,$824.56,"$1,230.66",$406.10,33.0%
AB1DK25B-8710,"AIR SPRING","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",5.00,$164.79,$270.14,$823.95,"$1,350.70",$526.75,39.0%
9991638,"HIAB ANGLE COUPLING","HD-Equipment & Hydraulics","Iuboro Transport","Staging Lethbridge - 4310",10.00,$82.25,$137.09,$822.50,"$1,370.90",$548.40,40.0%
ATFMVDD,"ATF Bulk- Mobil 1 Multi Vehicle ",HD-Fluids,"Hibridge Supply","Staging Heavy Duty - 9919",128.55,$6.36,$10.97,$817.58,"$1,410.19",$592.61,42.0%
5.0MERANTI,"3/16""x4x8' SHEET MERANTI PLYWOOD TRAILER WALL BOARD","HD-Trailer Comp","Duhaven Maintenance","Staging Lethbridge - 4310",47.00,$17.25,$31.74,$810.75,"$1,491.78",$681.03,45.7%
12148,"STANLEY HH SPRING","HD-Tires & Rims",—,"Staging Lethbridge - 4310",10.00,$80.55,$129.92,$805.50,"$1,299.20",$493.70,38.0%
43-1853,"Leaf Spring, Ford ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$397.34,$602.05,$794.68,"$1,204.10",$409.42,34.0%
FLT-033-08002,"24x30 AEROFLAP MUDFLAP","HD-Trailer Comp","Weriver Electrical","Staging Lethbridge - 4310",20.00,$39.69,$45.00,$793.80,$900.00,$106.20,11.8%
CL1110,"Cummins 14.5"" V-Band Clamp",HD-Exhaust,"Eagate Mechanical","Staging Heavy Duty - 9919",9.00,$87.81,$141.63,$790.29,"$1,274.67",$484.38,38.0%
AT-PB46-26268,"Urethane Spring Pin Bushing ","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",8.00,$98.69,$159.18,$789.52,"$1,273.44",$483.92,38.0%
AB1DK25B-8755,"AIR BAG (452-8755, 352-8755)","HD-Air Brakes & Air Suspension","Iview Commercial","Staging Lethbridge - 4310",6.00,$131.15,$216.78,$786.90,"$1,300.68",$513.78,39.5%
WWF,"Windshield Washer Fluid 4L",HD-Fluids,—,"Staging Heavy Duty - 9919",200.00,$3.91,$7.11,$782.00,"$1,422.00",$640.00,45.0%
27-ADB-66,"AIR DUMP VALVE BOX","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",6.00,$129.94,$214.78,$779.64,"$1,288.68",$509.04,39.5%
A85642,"SHOCK ABSORBER","HD-Steering & Suspension","Iview Commercial","Staging Lethbridge - 4310",8.00,$97.01,$156.47,$776.08,"$1,251.76",$475.68,38.0%
80-2,"80-2  DOUBLE ROLLER CHAIN","HD-Equipment & Hydraulics","Aiboro Rentals","Staging Lethbridge - 4310",16.00,$48.38,$84.88,$774.08,"$1,358.08",$584.00,43.0%
NL329-10,"#10 SAE100R16 HYD HOSE 4000 PS","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",258.00,$3.00,$6.00,$774.00,"$1,548.00",$774.00,50.0%
110.2611HD,"CAMSHAFT REPAIR KIT","HD-Heavy Duty Brake Comp","Iview Commercial","Staging Lethbridge - 4310",19.00,$40.28,$71.93,$765.32,"$1,366.67",$601.35,44.0%
SH550046217,"Engine Oil, Shell Rotella T6 5W40, Pail",HD-Fluids,—,"Staging Heavy Duty - 9919",4.50,$170.01,$242.88,$765.05,"$1,092.96",$327.91,30.0%
122961,"DELVAC 1 TRANS FLUID 40 PAIL",HD-Fluids,—,"Staging Lethbridge - 4310",2.00,$382.38,$546.27,$764.76,"$1,092.54",$327.78,30.0%
4923187,"Cylinder Head Bolt, L10/M11/ISM","HD-Engine Comp","Xistone Consulting","Staging Heavy Duty - 9919",29.00,$26.37,$43.95,$764.73,"$1,274.55",$509.82,40.0%
05-28963-002,"COOLANT HOSE, WESTERN STAR","HD-Cooling & HVAC","Ruridge Mining","Staging Heavy Duty - 9919",6.00,$127.34,$210.48,$764.04,"$1,262.88",$498.84,39.5%
43-1289HD,"LEAF SPRING, FORD F250/F350/F450/F550/F600/E550 (F81Z5560BB/F81A5560BD)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$381.46,$577.99,$762.92,"$1,155.98",$393.06,34.0%
SP46-11023,"POLY RUBBER BUSHING (RB-263)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",6.00,$126.48,$209.06,$758.88,"$1,254.36",$495.48,39.5%
TP-8-430-05,"9-10K HUB DRUM ASSY 2 PC","HD-Trailer Comp","Wuboro Farms","Staging Lethbridge - 4310",2.00,$379.30,$574.72,$758.60,"$1,149.44",$390.84,34.0%
SPS-SSA46,"SUPER SPRING KIT F250/350","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",1.00,$753.97,"$1,061.97",$753.97,"$1,061.97",$308.00,29.0%
452-8740,"AIR BAG","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$188.27,$303.66,$753.08,"$1,214.64",$461.56,38.0%
GH781-24,"1 1/2"" HYD HOSE - SAE100R16","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",21.00,$35.85,$61.81,$752.85,"$1,298.01",$545.16,42.0%
2520315C1,"ECM CONNECTOR TERMINALS, FEMALE 20-18 GA","HD-Lighting & Electrical","Xistone Consulting","Staging Heavy Duty - 9919",134.00,$5.60,$10.98,$750.40,"$1,471.32",$720.92,49.0%
46-1494,"Taper Leaf Spring, Freightliner/Hendrickson/Sterling","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$374.60,$567.59,$749.20,"$1,135.18",$385.98,34.0%
W3030T,"3030 Standard Brake Chamber, 13.25"" Rod ","HD-Heavy Duty Brake Comp","Qucastle Excavating","Staging Lethbridge - 4310",26.00,$28.67,$83.84,$745.42,"$2,179.84","$1,434.42",65.8%
EB9030SSUL,"TOOLBOX HANDLE EBERHARD DRING LEFT ROTATION","HD-Body Exterior",—,"Staging Heavy Duty - 9919",11.00,$67.42,$116.24,$741.62,"$1,278.64",$537.02,42.0%
46-1930,"Taper Leaf Spring, Freightliner/Hendrickson/Sterling ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$366.33,$555.06,$732.66,"$1,110.12",$377.46,34.0%
KL-TF6290,"SAE 30 TDTO-4 TRANS/DRVTRN FLD",HD-Fluids,—,"Staging Heavy Duty - 9919",148.00,$4.87,$8.85,$720.76,"$1,309.80",$589.04,45.0%
ASSY-HY12-H5012C,"HOSE ASSY 12FBSP X 12FBSP 45DE","HD-Hose & Fittings",—,"Staging Heavy Duty - 9919",4.00,$179.51,$271.99,$718.04,"$1,087.96",$369.92,34.0%
H075-0953-001,"HYDRAULIC FILTER, HEIL",HD-Filters,—,"Staging Lethbridge - 4310",3.00,$238.82,$341.18,$716.46,"$1,023.54",$307.08,30.0%
55-1262,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (3540852C91)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$358.01,$542.46,$716.02,"$1,084.92",$368.90,34.0%
34-1465,"LEAF SPRING, DODGE 2500/3500 (52113320AF)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$357.61,$541.85,$715.22,"$1,083.70",$368.48,34.0%
P573107,"Hydraulic Cartridge Filter, Caterpillar",HD-Filters,"Cimill Landscaping","Staging Heavy Duty - 9919",2.00,$356.41,$495.02,$712.82,$990.04,$277.22,28.0%
18BH50M,"MAGNET CORD (2) PRONG/MALE","HD-Lighting & Electrical","Zeport Commercial","Staging Heavy Duty - 9919",3.00,$237.47,$354.42,$712.41,"$1,063.26",$350.85,33.0%
6127666C1,"Shock Absorber, Rear, Navistar","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",8.00,$88.17,$142.21,$705.36,"$1,137.68",$432.32,38.0%
CYL-RED-REMAN,"REBUILT HYD CYLINDER","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",1.00,$700.00,$985.95,$700.00,$985.95,$285.95,29.0%
"MID LCP3030L","3030L COMBO SPRING BRAKE","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",4.00,$174.99,$286.86,$699.96,"$1,147.44",$447.48,39.0%
46-1770,"Leaf Spring, Freightliner/Hendrickson/Sterling ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$349.65,$537.94,$699.30,"$1,075.88",$376.58,35.0%
59-548,"Taper Leaf Spring, Hendrickson/Pacaar ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$349.61,$537.87,$699.22,"$1,075.74",$376.52,35.0%
BAT-2/0-RD,"2/0 BATTERY CABLE, RED","HD-Lighting & Electrical","Cuview Management","Staging Heavy Duty - 9919",83.00,$8.38,$16.43,$695.54,"$1,363.69",$668.15,49.0%
RTHI-12-TEFLON,"#12 STEEL BRAIDED TEFLON HOSE, 1250 PSI","HD-Hose & Fittings","Uivale Consulting","Staging Heavy Duty - 9919",37.00,$18.74,$35.36,$693.38,"$1,308.32",$614.94,47.0%
178.3092,"CABLE BOOSTER DUAL 2 GA 20FT","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",1.00,$692.95,$949.27,$692.95,$949.27,$256.32,27.0%
22-1289HD,"LEAF SPRING, GMC/CHEV","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$345.94,$532.23,$691.88,"$1,064.46",$372.58,35.0%
W3030T,"3030 Standard Brake Chamber, 13.25"" Rod ","HD-Heavy Duty Brake Comp","Qucastle Excavating","Staging Heavy Duty - 9919",24.00,$28.67,$83.84,$688.08,"$2,012.16","$1,324.08",65.8%
32258,"HH BIT KEEPER","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",1.00,$683.75,$963.06,$683.75,$963.06,$279.31,29.0%
AB1DK25C-8749,"AIR SPRING","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",5.00,$136.58,$225.75,$682.90,"$1,128.75",$445.85,39.5%
DRM-610-558,"WHEEL STUD 9/16 (ATCO)",HD-Fasteners,—,"Staging Lethbridge - 4310",48.00,$14.16,$27.23,$679.68,"$1,307.04",$627.36,48.0%
4TH8NC,"#4 HYD. HOSE NON-CONDUCTIVE 4467-1187 X10355","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",75.00,$9.05,$17.75,$678.75,"$1,331.25",$652.50,49.0%
FK11011,"FUEL FILTER KIT",HD-Filters,"Enson Forestry","Staging Lethbridge - 4310",6.00,$113.09,$166.31,$678.54,$997.86,$319.32,32.0%
43-1339,"LEAF SPRING, FORD E450 (YC2Z5560AA/YC255560AA)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$335.40,$516.01,$670.80,"$1,032.02",$361.22,35.0%
EB9030SSUR32,"TOOLBOX HANDLE EBERHARD DRING RIGHT ROTATION","HD-Body Exterior",—,"Staging Heavy Duty - 9919",11.00,$60.96,$105.10,$670.56,"$1,156.10",$485.54,42.0%
980530G,"HYDRAULIC ROTOR (8 STUD) - HINO, REAR","HD-Light Duty Brake Comp","Toshore Electrical","Staging Heavy Duty - 9919",4.00,$165.00,$270.48,$660.00,"$1,081.92",$421.92,39.0%
43-1705,"LEAF SPRING, FORD F250/F350/F450 (7C3Z5560DB/7C345A975DF)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$329.03,$506.21,$658.06,"$1,012.42",$354.36,35.0%
34-1633,"Leaf Spring, Chrysler/Dodge ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$328.61,$505.57,$657.22,"$1,011.14",$353.92,35.0%
46-1351,"Leaf Spring/Trailing Arm (RH), Freightliner/Hendrickson","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$327.35,$503.63,$654.70,"$1,007.26",$352.56,35.0%
830.31302BE,"AC COMPRESSOR 10S15C","HD-Cooling & HVAC","Iview Commercial","Staging Lethbridge - 4310",2.00,$327.22,$503.43,$654.44,"$1,006.86",$352.42,35.0%
59-446,"Taper Leaf Spring, Hendrickson/Paccar ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$324.62,$499.43,$649.24,$998.86,$349.62,35.0%
800.472204,"WATERR PUMP DETROIT DIESEL DD13/DD15/DD16","HD-Cooling & HVAC","Iview Commercial","Staging Lethbridge - 4310",4.00,$162.04,$265.63,$648.16,"$1,062.52",$414.36,39.0%
452-9297,"AIR BAG ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$161.83,$265.29,$647.32,"$1,061.16",$413.84,39.0%
4407253,"FLOW CONCY","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",1.00,$645.51,$909.20,$645.51,$909.20,$263.69,29.0%
452-8774,"AIR BAG","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$160.58,$263.24,$642.32,"$1,052.96",$410.64,39.0%
7078360C1,"TENSIONER, BELT TENSIONER BRACKET","HD-Belts, Pulleys & Tensioners",—,"Staging Heavy Duty - 9919",1.00,$640.10,$914.45,$640.10,$914.45,$274.35,30.0%
CS-9-138,"TRAILER BRAKE DRUM, 1/2"" STUD - 8 STUD","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",6.00,$106.67,$166.67,$640.02,"$1,000.02",$360.00,36.0%
D6178AM,"Hydraulic Disc Brake Rotor, Drive","HD-Heavy Duty Brake Comp","Toshore Electrical","Staging Heavy Duty - 9919",2.00,$319.90,$492.17,$639.80,$984.34,$344.54,35.0%
MN15540,"AXLE SEAT","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",6.00,$106.46,$166.34,$638.76,$998.04,$359.28,36.0%
TG8S-U6807-A1KX-R,"Muncie TG Series PTO, Reman","HD-Equipment & Hydraulics","Deline Mining","Staging Heavy Duty - 9919",1.00,$633.39,$892.13,$633.39,$892.13,$258.74,29.0%
W3030,"3030 Standard Brake Chamber","HD-Heavy Duty Brake Comp","Qucastle Excavating","Staging Lethbridge - 4310",22.00,$28.67,$70.91,$630.74,"$1,560.02",$929.28,59.6%
KL-IO5180,"ISO 46 SYN COMPRESSOR OIL, 18.9L [PAIL]",HD-Fluids,—,"Staging Lethbridge - 4310",3.00,$210.00,$300.01,$630.00,$900.03,$270.03,30.0%
562.312BK-B,"MUD FLAP HANGER","HD-Body Exterior","Iview Commercial","Staging Lethbridge - 4310",31.00,$20.28,$36.87,$628.68,"$1,142.97",$514.29,45.0%
339-300,"RIDEWELL BUSHING KIT","HD-Steering & Suspension",—,"Staging Heavy Duty - 9919",1.00,$627.83,$896.92,$627.83,$896.92,$269.09,30.0%
2872317,"RETAINER INJ COUPLING ISX15","HD-Engine Comp",—,"Staging Lethbridge - 4310",18.00,$34.77,$56.08,$625.86,"$1,009.44",$383.58,38.0%
43-1747HD,"Leaf Spring, Ford","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$312.32,$480.50,$624.64,$961.00,$336.36,35.0%
893.240,"ROST OFF ICE 400ML",HD-Fluids,"Wuboro Farms","Staging Heavy Duty - 9919",23.00,$26.92,$38.46,$619.16,$884.58,$265.42,30.0%
382-8036,"STEMCO GRIT-GUARD 2PC WHEEL SEAL (35066/35058, 370001A/380001A, 308-0836, 383-0136, 10045885)","HD-Wheel Comp","Wuboro Farms","Staging Heavy Duty - 9919",12.00,$51.17,$86.73,$614.04,"$1,040.76",$426.72,41.0%
43-1085HD,"LEAF SPRING,  92-21 FORD E-SERIES VANS, EXCEPT 92-06 E150","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$306.66,$471.80,$613.32,$943.60,$330.28,35.0%
KP351AL,"Rebuild Kit LH","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$304.70,$476.09,$609.40,$952.18,$342.78,36.0%
MSRK4,"BEAM END KIT","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",4.00,$152.32,$249.70,$609.28,$998.80,$389.52,39.0%
ARL-93288,"AIR SPRING KIT","AUTO-Accessories (Gauges, Power Accessories, Vision & Air bag)",—,"Staging Lethbridge - 4310",1.00,$609.14,$990.46,$609.14,$990.46,$381.32,38.5%
B1212E-21,"12K BRAKE ASSY. LH","HD-Trailer Brake Comp",—,"Staging Lethbridge - 4310",6.00,$101.51,$158.61,$609.06,$951.66,$342.60,36.0%
15400,"STANLEY HH HEX BUSHING","HD-Equipment & Hydraulics",—,"Staging Lethbridge - 4310",6.00,$101.40,$166.23,$608.40,$997.38,$388.98,39.0%
571.LD40W12MV-K,"Back-Up Light Kit, 12-Diode LED, 4"" Round, 10v-30v","HD-Lighting & Electrical","Iview Commercial","Staging Heavy Duty - 9919",33.00,$18.35,$34.62,$605.55,"$1,142.46",$536.91,47.0%
452-9865,"AIR BAG","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$150.72,$247.08,$602.88,$988.32,$385.44,39.0%
AUBK8479-094,"U-BOLT KIT 361-224, ROUND NEWAY, 1X6-3/8X9-1/2","HD-Steering & Suspension","Iview Commercial","Staging Lethbridge - 4310",9.00,$66.77,$115.12,$600.93,"$1,036.08",$435.15,42.0%
08-02794,"AIR TANK BRACKETS","HD-Equipment & Hydraulics",—,"Staging Heavy Duty - 9919",4.00,$150.09,$238.24,$600.36,$952.96,$352.60,37.0%
55-1242,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (353198C91)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$299.58,$468.09,$599.16,$936.18,$337.02,36.0%
FP6402250810WCX,"DISC BRAKE CALIPER RH PAN22","HD-Heavy Duty Brake Comp",—,"Staging Lethbridge - 4310",1.00,$599.00,$868.13,$599.00,$868.13,$269.13,31.0%
FPK113887WCX,"ADB22 CALIPER W/CARRIER","HD-Heavy Duty Brake Comp","Toshore Electrical","Staging Lethbridge - 4310",1.00,$599.00,$868.13,$599.00,$868.13,$269.13,31.0%
9111535200X,"CUMMINS 85MM AIR COMPRESSOR, WABCO SS318 TYPE","HD-Engine Comp","Toshore Electrical","Staging Lethbridge - 4310",1.00,$595.00,$832.17,$595.00,$832.17,$237.17,28.5%
K035912X,"COMPRESSOR ","HD-Air Brakes & Air Suspension","Toshore Electrical","Staging Lethbridge - 4310",1.00,$595.00,$862.33,$595.00,$862.33,$267.33,31.0%
452-8755,"AIR BAG (AB1DK25B-8755, 352-8755)","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$147.07,$243.09,$588.28,$972.36,$384.08,39.5%
3560701,"FINNING/CAT CABLE ASSEMBLY",Uncategorized,"Figrove Apparel","Staging Heavy Duty - 9919",1.00,$587.27,$962.71,$587.27,$962.71,$375.44,39.0%
P165675,"Spin-On Hydraulic Filter, Flush Loop",HD-Filters,"Niplains Towing","Staging Heavy Duty - 9919",4.00,$146.81,$212.77,$587.24,$851.08,$263.84,31.0%
69820E0141,"LH Door Window Regulator","HD-Body Interior","Rafalls Equipment","Staging Lethbridge - 4310",1.00,$584.87,$847.65,$584.87,$847.65,$262.78,31.0%
CS-9-138-916,"TRAILER BRAKE DRUM, 9/16"" STUD (CS-9-138-916)","HD-Trailer Brake Comp","Wuboro Farms","Staging Lethbridge - 4310",6.00,$97.43,$157.14,$584.58,$942.84,$358.26,38.0%
452-1190,"AIR BAG (1190, 1R12-523, 73745, 4C4Z5580C1, 2514461C1, W01-358-9876, W01-358-1190)","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$146.02,$241.36,$584.08,$965.44,$381.36,39.5%
3747417,"SEAL KIT 16","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",3.00,$193.83,$307.67,$581.49,$923.01,$341.52,37.0%
B1212E-22,"12-15K BRAKE ASSY. RH (AZ002RH, CS-23-447)","HD-Trailer Brake Comp",—,"Staging Lethbridge - 4310",6.00,$96.51,$155.66,$579.06,$933.96,$354.90,38.0%
RB-253,"BUSHING, IHC FRONT","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",20.00,$28.81,$51.45,$576.20,"$1,029.00",$452.80,44.0%
ARW-3832708,"LOWER CONTROL CABLE HIAB 144","HD-Equipment & Hydraulics","Iuboro Transport","Staging Heavy Duty - 9919",1.00,$574.92,$821.33,$574.92,$821.33,$246.41,30.0%
452-9144,"AIR BAG","HD-Air Brakes & Air Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$142.79,$236.02,$571.16,$944.08,$372.92,39.5%
18BH50F,"MAGNET CORD (2) PRONG/FEMALE","HD-Lighting & Electrical","Zeport Commercial","Staging Heavy Duty - 9919",3.00,$190.00,$287.89,$570.00,$863.67,$293.67,34.0%
55-1216,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$284.82,$445.03,$569.64,$890.06,$320.42,36.0%
55-1240,"TAPER LEAF SPRING, NAVISTAR/INTERNATIONAL (3533197C91)","HD-Steering & Suspension","Wuboro Farms","Staging Heavy Duty - 9919",2.00,$284.82,$445.03,$569.64,$890.06,$320.42,36.0%
1889332C92,"SEAL KIT TURBOCHARGER SEALS","HD-Engine Comp",—,"Staging Heavy Duty - 9919",2.00,$283.25,$410.51,$566.50,$821.02,$254.52,31.0%
N65032-12-12,"#12 R5  FIELD ATTACHABLE","HD-Hose & Fittings","Humoor Energy","Staging Heavy Duty - 9919",13.00,$43.43,$74.88,$564.59,$973.44,$408.85,42.0%
452-9935,"AIR BAG, HINO/HOLLAND","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",4.00,$140.74,$232.63,$562.96,$930.52,$367.56,39.5%
EQ045,"EQUALIZER HUTCHENS","HD-Trailer Comp","Iview Commercial","Staging Lethbridge - 4310",2.00,$280.61,$380.30,$561.22,$760.60,$199.38,26.2%
321-132,"BUSHING 5/8","HD-Steering & Suspension",—,"Staging Lethbridge - 4310",16.00,$35.07,$62.62,$561.12,"$1,001.92",$440.80,44.0%
46-1317,"Leaf Spring, Freightliner/Hendrickson/Sterling ","HD-Steering & Suspension","Wuboro Farms","Staging Lethbridge - 4310",2.00,$279.02,$435.97,$558.04,$871.94,$313.90,36.0%
BRRF*234,"ROTOR ASSY.","HD-Heavy Duty Brake Comp",—,"Staging Heavy Duty - 9919",2.00,$278.70,$435.47,$557.40,$870.94,$313.54,36.0%
FLT3030SCB20,"30/30 STANDARD/REGULAR STROKE BRAKE CHAMBER (SB3030S2500)","HD-Air Brakes & Air Suspension","Xistone Consulting","Staging Heavy Duty - 9919",14.00,$39.71,$70.91,$555.94,$992.74,$436.80,44.0%
NL4520-038,"3/8 BULK/REEL SAE30R7 FUEL","HD-Hose & Fittings",—,"Staging Lethbridge - 4310",50.00,$11.09,$23.60,$554.50,"$1,180.00",$625.50,53.0%
FLTK3030LB24,"30/30 LONG STROKE PIGGY BACK KIT- BRAKE CHAMBER","HD-Air Brakes & Air Suspension",—,"Staging Lethbridge - 4310",16.00,$34.60,$61.79,$553.60,$988.64,$435.04,44.0%
